"file","lufs","peak_dbfs","fmt"
"Histoires de Timote\5 Voyages\03 Timote visite Paris.item.mp3","-16","-2.9","44100,1"
"Histoires de Timote\5 Voyages\03 Timote visite Paris.mp3","-16","-1.5","44100,1"
"Histoires de Timote\6 Sport et plein air\0-item.mp3","-16.5","-1.5","44100,1"
"Histoires de Timote\6 Sport et plein air\01 Timote fait de la trottinette.item.mp3","-16","-3.2","44100,1"
"Histoires de Timote\6 Sport et plein air\01 Timote fait de la trottinette.mp3","-16","-1.5","44100,1"
"Histoires de Timote\6 Sport et plein air\02 Timote fait du ski.item.mp3","-16","-3.2","44100,1"
"Histoires de Timote\6 Sport et plein air\02 Timote fait du ski.mp3","-16","-1.5","44100,1"
"Histoires de Timote\6 Sport et plein air\03 Timote fait du velo.item.mp3","-15.9","-4.7","44100,1"
"Histoires de Timote\6 Sport et plein air\03 Timote fait du velo.mp3","-16","-1.5","44100,1"
"Histoires de Timote\6 Sport et plein air\04 Timote joue au foot.item.mp3","-16","-2.4","44100,1"
"Histoires de Timote\6 Sport et plein air\04 Timote joue au foot.mp3","-16","-1.5","44100,1"
"Histoires de Timote\7 Fetes\0-item.mp3","-16.7","-1.5","44100,1"
"Histoires de Timote\7 Fetes\01 Timote et le Noel magique.item.mp3","-16.1","-4.8","44100,1"
"Histoires de Timote\7 Fetes\01 Timote et le Noel magique.mp3","-16","-1.5","44100,1"
"Histoires de Timote\7 Fetes\02 Timote fete la Saint Nicolas.item.mp3","-15.9","-1.9","44100,1"
"Histoires de Timote\7 Fetes\02 Timote fete la Saint Nicolas.mp3","-16","-1.5","44100,1"
"Histoires de Timote\7 Fetes\03 Timote fete son anniversaire.item.mp3","-16.1","-4","44100,1"
"Histoires de Timote\7 Fetes\03 Timote fete son anniversaire.mp3","-16","-1.5","44100,1"
"Histoires de Timote\8 Corps et sante\0-item.mp3","-18.1","-1.5","44100,1"
"Histoires de Timote\8 Corps et sante\01 Timote est malade.item.mp3","-16","-3.5","44100,1"
"Histoires de Timote\8 Corps et sante\01 Timote est malade.mp3","-16","-2","44100,1"
"Histoires de Timote\8 Corps et sante\02 Timote et ses lunettes.item.mp3","-16","-4","44100,1"
"Histoires de Timote\8 Corps et sante\02 Timote et ses lunettes.mp3","-16","-1.5","44100,1"
"Histoires de Timote\8 Corps et sante\03 Timote va chez le docteur.item.mp3","-16","-3.8","44100,1"
"Histoires de Timote\8 Corps et sante\03 Timote va chez le docteur.mp3","-16","-1.5","44100,1"
"Histoires de Timote\9 Nature et animaux\0-item.mp3","-16.9","-1.5","44100,1"
"Histoires de Timote\9 Nature et animaux\01 Timote a la ferme.item.mp3","-16","-2.4","44100,1"
"Histoires de Timote\9 Nature et animaux\01 Timote a la ferme.mp3","-16","-1.5","44100,1"
"Histoires de Timote\9 Nature et animaux\02 Timote aime la planete.item.mp3","-16","-3.4","44100,1"
"Histoires de Timote\9 Nature et animaux\02 Timote aime la planete.mp3","-16","-1.5","44100,1"
"Histoires de Timote\9 Nature et animaux\03 Timote chez les pompiers.item.mp3","-16","-3.6","44100,1"
"Histoires de Timote\9 Nature et animaux\03 Timote chez les pompiers.mp3","-16","-1.5","44100,1"
"Histoires de Timote\9 Nature et animaux\04 Timote et le chantier.item.mp3","-16","-5.4","44100,1"
"Histoires de Timote\9 Nature et animaux\04 Timote et le chantier.mp3","-16","-1.5","44100,1"
"Histoires de Timote\9 Nature et animaux\05 Timote se promene en foret.item.mp3","-15.9","-4.9","44100,1"
"Histoires de Timote\9 Nature et animaux\05 Timote se promene en foret.mp3","-16","-1.4","44100,1"
"Histoires de Timote\9 Nature et animaux\06 Timote veut un animal.item.mp3","-16.1","-3.3","44100,1"
"Histoires de Timote\9 Nature et animaux\06 Timote veut un animal.mp3","-16","-1.7","44100,1"
